45,Mayur Bhatt,14,Male,886,Avinash Kori,Freestyle,2023-04-14
46,Rahil Naik,7,Female,948,Ganesh Katara,Freestyle,2023-04-15
47,Aditi Trivedi,14,Male,1000,Vilas More,Robotics,2023-04-16
48,Nidhi Vyas,12,Male,979,Kosha Patel,Wacking,2023-04-17
49,Hemal Gandhi,15,Male,952,Vilas More,Urban,2023-04-18
50,Rahil Vyas,7,Female,929,Avinash Kori,Krump,2023-04-19
51,Manish Desai,8,Female,987,Abhi Kori,Krump,2023-04-20
52,Mayur Gohil,16,Male,902,Karishma Patel,Locking,2023-04-21
53,Krishna Dave,10,Male,854,Avinash Kori,Bollywood,2023-04-22
54,Kavita Panchal,16,Male,919,Karishma Patel,Hip-Hop,2023-04-23
55,Nidhi Acharya,9,Female,966,Abhi Kori,Bollywood,2023-04-24
56,Ketan Panchal,14,Female,914,Karishma Patel,Wacking,2023-04-25
57,Manish Joshi,5,Male,960,Kosha Patel,Funk,2023-04-26
58,Kavita Gandhi,6,Male,988,Karishma Patel,Freestyle,2023-04-27
59,Dhruv Naik,14,Female,846,Vilas More,Hip-Hop,2023-04-28
60,Aditi Acharya,12,Female,983,Ganesh Katara,Classical,2023-04-29
61,Ketan Trivedi,7,Male,973,Abhi Kori,Robotics,2023-04-30
62,Kiran Trivedi,14,Male,927,Kosha Patel,Bollywood,2023-05-01
63,Kavita Solanki,17,Female,920,Kosha Patel,Popping,2023-05-02
64,Mayur Thakkar,7,Female,917,Ganesh Katara,Contemporary,2023-05-03
65,Vivaan Joshi,12,Male,963,Abhi Kori,Locking,2023-05-04
66,Aditi Thakkar,7,Male,963,Vilas More,Hip-Hop,2023-05-05
67,Tara Acharya,5,Male,959,Ganesh Katara,Funk,2023-05-06
68,Rinkle Trivedi,16,Female,990,Vilas More,Lyrical,2023-05-07
69,Shilpa Desai,15,Female,852,Avinash Kori,Contemporary,2023-05-08
70,Shilpa Panchal,6,Female,923,Ganesh Katara,Bollywood,2023-05-09
71,Dev Joshi,11,Female,853,Kosha Patel,Funk,2023-05-10
72,Parth Trivedi,8,Male,988,Kosha Patel,Locking,2023-05-11
73,Jitendra Gohil,12,Female,979,Kosha Patel,Funk,2023-05-12
74,Manish Naik,8,Female,988,Kosha Patel,Contemporary,2023-05-13
75,Kiran Gohil,8,Female,851,Kosha Patel,Lyrical,2023-05-14
76,Aditi Chawda,13,Male,912,Abhi Kori,Krump,2023-05-15
77,Rinkle Bhatt,11,Male,855,Karishma Patel,Locking,2023-05-16
78,Hemal Shah,11,Male,853,Ganesh Katara,Krump,2023-05-17
79,Vivaan Naik,15,Male,945,Kosha Patel,Krump,2023-05-18
80,Rahil Acharya,16,Female,843,Abhi Kori,Classical,2023-05-19
81,Vivaan Joshi,8,Female,923,Ganesh Katara,Classical,2023-05-20
82,Aditi Gandhi,14,Female,859,Kosha Patel,Robotics,2023-05-21
83,Aditi Desai,5,Male,843,Vilas More,Wacking,2023-05-22
84,Mayur Mehta,14,Male,856,Abhi Kori,Funk,2023-05-23
85,Pravin Dave,16,Male,925,Karishma Patel,Freestyle,2023-05-24
86,Rahil Joshi,6,Female,827,Ganesh Katara,Locking,2023-05-25
87,Kavita Acharya,12,Female,964,Kosha Patel,Bollywood,2023-05-26
88,Hemal Naik,13,Male,928,Abhi Kori,Robotics,2023-05-27
89,Dhruv Shah,7,Female,902,Avinash Kori,Contemporary,2023-05-28
90,Vivaan Gandhi,15,Male,875,Kosha Patel,Wacking,2023-05-29
91,Harsh Acharya,13,Male,811,Karishma Patel,Krump,2023-05-30
92,Shilpa Naik,10,Female,923,Avinash Kori,Popping,2023-05-31
93,Kavita Gandhi,5,Female,836,Karishma Patel,Krump,2023-06-01
94,Mihir Chawda,11,Male,841,Vilas More,Popping,2023-06-02
95,Kiran Dave,11,Male,976,Kosha Patel,Lyrical,2023-06-03
96,Manish Gandhi,11,Male,833,Abhi Kori,Urban,2023-06-04
97,Parth Panchal,9,Female,860,Kosha Patel,Lyrical,2023-06-05
98,Ketan Desai,9,Female,934,Vilas More,Hip-Hop,2023-06-06
99,Nidhi Joshi,8,Male,912,Avinash Kori,Urban,2023-06-07
100,Pravin Solanki,14,Female,932,Avinash Kori,Krump,2023-06-08
101,Aditi Solanki,16,Male,951,Avinash Kori,Robotics,2023-06-09
102,Kavita Solanki,7,Male,899,Avinash Kori,Contemporary,2023-06-10
103,Hemal Joshi,15,Female,892,Avinash Kori,Contemporary,2023-06-11
104,Kavita Solanki,6,Female,948,Vilas More,Wacking,2023-06-12
105,Manish Vyas,16,Female,958,Ganesh Katara,Popping,2023-06-13
106,Pravin Naik,5,Male,848,Abhi Kori,Wacking,2023-06-14
107,Rahil Gohil,15,Female,914,Avinash Kori,Lyrical,2023-06-15
108,Mihir Solanki,10,Female,826,Ganesh Katara,Krump,2023-06-16
109,Ishita Vyas,10,Female,920,Abhi Kori,Lyrical,2023-06-17
110,Dhruv Solanki,11,Female,975,Ganesh Katara,Funk,2023-06-18
111,Rahil Vyas,9,Male,850,Karishma Patel,Funk,2023-06-19
112,Anya Parekh,6,Male,840,Abhi Kori,Classical,2023-06-20
113,Hemal Shah,6,Female,895,Ganesh Katara,Classical,2023-06-21
114,Aarav Parekh,9,Female,881,Ganesh Katara,Wacking,2023-06-22
115,Ketan Desai,5,Female,986,Karishma Patel,Hip-Hop,2023-06-23
116,Riya Joshi,8,Male,832,Avinash Kori,Locking,2023-06-24
117,Dev Naik,5,Female,838,Kosha Patel,Popping,2023-06-25
118,Kiran Mehta,11,Male,859,Vilas More,Locking,2023-06-26
119,Mayur Naik,17,Male,832,Kosha Patel,Classical,2023-06-27
120,Rinkle Panchal,7,Male,819,Vilas More,Krump,2023-06-28
121,Ishita Gandhi,7,Male,875,Karishma Patel,Locking,2023-06-29
122,Jitendra Pandya,14,Male,809,Karishma Patel,Krump,2023-06-30
123,Jitendra Gandhi,13,Male,965,Kosha Patel,Urban,2023-07-01
124,Mihir Naik,17,Female,807,Vilas More,Bollywood,2023-07-02
125,Kiran Joshi,9,Male,862,Karishma Patel,Krump,2023-07-03
126,Anya Trivedi,11,Male,996,Ganesh Katara,Freestyle,2023-07-04
127,Tara Parekh,14,Male,814,Ganesh Katara,Bollywood,2023-07-05
128,Dev Joshi,12,Male,812,Kosha Patel,Freestyle,2023-07-06
129,Riya Gandhi,14,Female,883,Ganesh Katara,Bollywood,2023-07-07
130,Nidhi Mehta,14,Male,958,Kosha Patel,Krump,2023-07-08
131,Krishna Naik,9,Male,975,Vilas More,Urban,2023-07-09
132,Shilpa Acharya,12,Female,927,Abhi Kori,Freestyle,2023-07-10
133,Hemal Joshi,15,Female,967,Avinash Kori,Popping,2023-07-11
134,Jitendra Parekh,7,Male,993,Ganesh Katara,Lyrical,2023-07-12
135,Ishita Pandya,15,Female,944,Abhi Kori,Robotics,2023-07-13
136,Harsh Panchal,7,Female,921,Ganesh Katara,Wacking,2023-07-14
137,Shilpa Gandhi,10,Female,941,Vilas More,Freestyle,2023-07-15
138,Aditi Chawda,5,Male,871,Karishma Patel,Wacking,2023-07-16
139,Ishita Patel,7,Female,869,Vilas More,Classical,2023-07-17
140,Riya Thakkar,15,Female,924,Avinash Kori,Funk,2023-07-18
141,Ketan Mehta,12,Male,817,Ganesh Katara,Contemporary,2023-07-19
142,Riya Naik,13,Female,978,Karishma Patel,Urban,2023-07-20
143,Parth Naik,11,Female,985,Kosha Patel,Contemporary,2023-07-21
144,Mayur Vyas,5,Male,819,Ganesh Katara,Bollywood,2023-07-22
145,Jitendra Thakkar,17,Male,838,Karishma Patel,Urban,2023-07-23
146,Nidhi Gandhi,8,Female,927,Kosha Patel,Contemporary,2023-07-24
147,Mayur Trivedi,6,Male,825,Ganesh Katara,Lyrical,2023-07-25
148,Nidhi Gandhi,5,Male,821,Karishma Patel,Robotics,2023-07-26
149,Hemal Pandya,7,Female,824,Karishma Patel,Popping,2023-07-27
150,Aarav Trivedi,16,Male,818,Ganesh Katara,Freestyle,2023-07-28
151,Harsh Patel,13,Male,978,Abhi Kori,Contemporary,2023-07-29
152,Darshan Desai,10,Male,896,Abhi Kori,Wacking,2023-07-30
153,Hemal Desai,17,Male,941,Ganesh Katara,Robotics,2023-07-31
154,Vivaan Pandya,9,Male,807,Abhi Kori,Freestyle,2023-08-01
155,Ketan Thakkar,9,Female,880,Vilas More,Wacking,2023-08-02
156,Vivaan Parekh,12,Female,914,Abhi Kori,Hip-Hop,2023-08-03
157,Dhruv Mehta,7,Female,924,Avinash Kori,Robotics,2023-08-04
158,Harsh Patel,11,Male,917,Avinash Kori,Popping,2023-08-05
159,Rahil Dave,5,Male,837,Abhi Kori,Popping,2023-08-06
160,Aditi Joshi,15,Male,885,Kosha Patel,Classical,2023-08-07
161,Mihir Panchal,14,Male,840,Karishma Patel,Freestyle,2023-08-08
162,Aarav Trivedi,12,Female,981,Kosha Patel,Krump,2023-08-09
163,Nidhi Gandhi,10,Female,809,Vilas More,Freestyle,2023-08-10
164,Darshan Solanki,17,Female,939,Vilas More,Classical,2023-08-11
165,Manish Mehta,16,Female,878,Vilas More,Bollywood,2023-08-12
166,Parth Chawda,5,Male,940,Abhi Kori,Robotics,2023-08-13
167,Manish Joshi,8,Male,840,Avinash Kori,Bollywood,2023-08-14
168,Darshan Mehta,15,Female,951,Abhi Kori,Freestyle,2023-08-15
169,Manish Solanki,16,Female,932,Ganesh Katara,Urban,2023-08-16
170,Harsh Vyas,13,Female,888,Kosha Patel,Urban,2023-08-17
171,Riya Panchal,5,Female,820,Ganesh Katara,Urban,2023-08-18
172,Anya Chawda,10,Female,824,Abhi Kori,Funk,2023-08-19
173,Shilpa Pandya,13,Male,974,Abhi Kori,Contemporary,2023-08-20
174,Shilpa Solanki,13,Male,983,Avinash Kori,Locking,2023-08-21
175,Vivaan Patel,7,Female,866,Kosha Patel,Freestyle,2023-08-22
176,Riya Pandya,10,Male,919,Vilas More,Lyrical,2023-08-23
177,Mihir Vyas,10,Female,850,Ganesh Katara,Freestyle,2023-08-24
178,Aarav Thakkar,15,Male,879,Ganesh Katara,Hip-Hop,2023-08-25
179,Parth Panchal,5,Female,955,Kosha Patel,Classical,2023-08-26
180,Shilpa Parekh,13,Female,963,Ganesh Katara,Contemporary,2023-08-27
181,Aarav Solanki,6,Female,959,Karishma Patel,Robotics,2023-08-28
182,Dev Gandhi,8,Male,966,Ganesh Katara,Classical,2023-08-29
183,Kiran Pandya,13,Male,933,Karishma Patel,Hip-Hop,2023-08-30
184,Shilpa Desai,15,Female,918,Ganesh Katara,Robotics,2023-08-31
185,Hemal Shah,5,Female,925,Kosha Patel,Popping,2023-09-01
186,Kavita Pandya,11,Male,813,Abhi Kori,Urban,2023-09-02
187,Aditi Parekh,17,Male,899,Ganesh Katara,Bollywood,2023-09-03
188,Mihir Parekh,17,Female,894,Kosha Patel,Krump,2023-09-04
189,Tara Dave,17,Male,823,Avinash Kori,Krump,2023-09-05
190,Pravin Gandhi,12,Male,850,Karishma Patel,Krump,2023-09-06
191,Darshan Shah,12,Male,848,Abhi Kori,Krump,2023-09-07
192,Jitendra Shah,11,Female,835,Ganesh Katara,Lyrical,2023-09-08
193,Aarav Vyas,6,Male,886,Kosha Patel,Popping,2023-09-09
194,Rinkle Parekh,17,Male,835,Ganesh Katara,Funk,2023-09-10
195,Harsh Mehta,9,Male,946,Karishma Patel,Krump,2023-09-11
196,Dhruv Vyas,9,Male,967,Abhi Kori,Robotics,2023-09-12
197,Dev Mehta,7,Female,858,Avinash Kori,Wacking,2023-09-13
198,Rinkle Patel,10,Female,889,Karishma Patel,Hip-Hop,2023-09-14
199,Manish Shah,14,Male,872,Karishma Patel,Locking,2023-09-15
200,Aditi Panchal,7,Female,875,Avinash Kori,Bollywood,2023-09-16
201,Aditi Panchal,6,Female,843,Vilas More,Robotics,2023-09-17
202,Tara Shah,16,Female,943,Avinash Kori,Classical,2023-09-18
203,Rahil Trivedi,5,Male,951,Ganesh Katara,Robotics,2023-09-19
204,Rinkle Thakkar,10,Male,914,Avinash Kori,Locking,2023-09-20
205,Vivaan Dave,8,Male,812,Avinash Kori,Krump,2023-09-21
206,Mihir Shah,15,Male,955,Ganesh Katara,Popping,2023-09-22
207,Rahil Pandya,12,Male,928,Vilas More,Contemporary,2023-09-23
208,Darshan Acharya,6,Female,871,Kosha Patel,Freestyle,2023-09-24
209,Manish Panchal,16,Male,895,Karishma Patel,Locking,2023-09-25
210,Pravin Patel,5,Male,940,Vilas More,Urban,2023-09-26
211,Harsh Shah,14,Male,928,Vilas More,Funk,2023-09-27
212,Aarav Shah,11,Female,880,Karishma Patel,Lyrical,2023-09-28
213,Dhruv Panchal,8,Female,850,Karishma Patel,Wacking,2023-09-29
214,Mayur Chawda,10,Male,888,Avinash Kori,Robotics,2023-09-30
215,Nidhi Gandhi,6,Female,994,Vilas More,Classical,2023-10-01
216,Parth Gandhi,13,Female,918,Ganesh Katara,Wacking,2023-10-02
217,Riya Gohil,12,Male,936,Abhi Kori,Popping,2023-10-03
218,Aarav Shah,6,Male,982,Kosha Patel,Bollywood,2023-10-04
219,Nidhi Gandhi,10,Male,922,Abhi Kori,Krump,2023-10-05
220,Vivaan Solanki,5,Male,965,Ganesh Katara,Popping,2023-10-06
221,Dev Trivedi,12,Male,876,Ganesh Katara,Hip-Hop,2023-10-07
222,Riya Shah,8,Female,986,Abhi Kori,Contemporary,2023-10-08
223,Nidhi Bhatt,6,Male,850,Ganesh Katara,Funk,2023-10-09
224,Nidhi Joshi,7,Male,914,Karishma Patel,Freestyle,2023-10-10
225,Pravin Thakkar,14,Female,895,Abhi Kori,Locking,2023-10-11
226,Rahil Joshi,5,Male,942,Ganesh Katara,Funk,2023-10-12
227,Vivaan Thakkar,14,Male,812,Avinash Kori,Classical,2023-10-13
228,Ketan Acharya,13,Female,830,Abhi Kori,Contemporary,2023-10-14
229,Krishna Solanki,9,Male,831,Kosha Patel,Freestyle,2023-10-15
230,Aarav Chawda,11,Male,969,Ganesh Katara,Lyrical,2023-10-16
231,Hemal Solanki,7,Female,957,Ganesh Katara,Funk,2023-10-17
232,Nidhi Thakkar,17,Male,962,Abhi Kori,Popping,2023-10-18
233,Rinkle Shah,10,Female,801,Abhi Kori,Wacking,2023-10-19
234,Parth Naik,6,Male,853,Vilas More,Freestyle,2023-10-20
235,Pravin Mehta,9,Female,898,Ganesh Katara,Bollywood,2023-10-21
236,Vivaan Bhatt,8,Female,981,Avinash Kori,Lyrical,2023-10-22
237,Shilpa Patel,15,Female,850,Kosha Patel,Wacking,2023-10-23
238,Ishita Dave,10,Female,850,Abhi Kori,Contemporary,2023-10-24
239,Rahil Trivedi,11,Male,961,Vilas More,Krump,2023-10-25
240,Dev Patel,8,Female,1000,Kosha Patel,Funk,2023-10-26
241,Jitendra Patel,13,Male,934,Ganesh Katara,Hip-Hop,2023-10-27
242,Jitendra Shah,14,Female,833,Karishma Patel,Contemporary,2023-10-28
243,Ketan Bhatt,7,Male,929,Karishma Patel,Hip-Hop,2023-10-29
244,Krishna Joshi,14,Male,910,Vilas More,Wacking,2023-10-30
245,Mayur Shah,12,Male,832,Ganesh Katara,Classical,2023-10-31
246,Shilpa Acharya,5,Male,993,Kosha Patel,Classical,2023-11-01
247,Mayur Gohil,16,Male,985,Kosha Patel,Bollywood,2023-11-02
248,Hemal Pandya,17,Female,959,Vilas More,Lyrical,2023-11-03
249,Dhruv Trivedi,10,Female,800,Abhi Kori,Robotics,2023-11-04
250,Tara Vyas,14,Female,876,Vilas More,Bollywood,2023-11-05
251,Mihir Vyas,17,Female,990,Vilas More,Wacking,2023-11-06
252,Shilpa Panchal,17,Female,949,Abhi Kori,Classical,2023-11-07
253,Parth Joshi,14,Male,839,Avinash Kori,Krump,2023-11-08
254,Tara Dave,17,Male,848,Avinash Kori,Contemporary,2023-11-09
255,Dhruv Trivedi,10,Male,967,Vilas More,Robotics,2023-11-10
256,Krishna Panchal,10,Female,971,Ganesh Katara,Classical,2023-11-11
257,Vivaan Gandhi,10,Male,963,Kosha Patel,Popping,2023-11-12
258,Pravin Pandya,5,Female,939,Karishma Patel,Popping,2023-11-13
259,Nidhi Shah,16,Male,809,Karishma Patel,Bollywood,2023-11-14
260,Dev Naik,10,Male,801,Abhi Kori,Popping,2023-11-15
261,Anya Parekh,9,Male,810,Ganesh Katara,Funk,2023-11-16
262,Dhruv Shah,10,Female,958,Karishma Patel,Lyrical,2023-11-17
263,Mihir Desai,13,Male,983,Ganesh Katara,Locking,2023-11-18
264,Harsh Shah,15,Male,803,Karishma Patel,Krump,2023-11-19
265,Mayur Chawda,11,Female,894,Kosha Patel,Lyrical,2023-11-20
266,Hemal Parekh,5,Female,846,Avinash Kori,Locking,2023-11-21
267,Ishita Parekh,14,Female,857,Abhi Kori,Bollywood,2023-11-22
268,Tara Chawda,9,Male,830,Kosha Patel,Locking,2023-11-23
269,Shilpa Bhatt,12,Female,895,Ganesh Katara,Contemporary,2023-11-24
270,Aarav Pandya,7,Female,930,Abhi Kori,Robotics,2023-11-25
271,Tara Chawda,5,Male,850,Ganesh Katara,Locking,2023-11-26
272,Mayur Panchal,9,Male,848,Karishma Patel,Hip-Hop,2023-11-27
273,Krishna Dave,12,Male,875,Vilas More,Lyrical,2023-11-28
274,Harsh Naik,9,Female,933,Kosha Patel,Wacking,2023-11-29
275,Aditi Acharya,10,Male,897,Ganesh Katara,Hip-Hop,2023-11-30
276,Shilpa Panchal,16,Female,996,Ganesh Katara,Hip-Hop,2023-12-01
277,Kavita Thakkar,13,Female,907,Karishma Patel,Popping,2023-12-02
278,Shilpa Naik,15,Male,821,Vilas More,Krump,2023-12-03
279,Pravin Panchal,12,Male,939,Vilas More,Hip-Hop,2023-12-04
280,Aditi Naik,10,Male,955,Abhi Kori,Popping,2023-12-05
281,Anya Mehta,8,Female,918,Kosha Patel,Urban,2023-12-06
282,Hemal Desai,6,Female,806,Abhi Kori,Wacking,2023-12-07
283,Manish Shah,7,Male,998,Karishma Patel,Contemporary,2023-12-08
284,Manish Patel,17,Male,926,Avinash Kori,Classical,2023-12-09
285,Harsh Pandya,16,Female,861,Ganesh Katara,Hip-Hop,2023-12-10
286,Kavita Gandhi,11,Female,974,Avinash Kori,Lyrical,2023-12-11
287,Hemal Joshi,6,Male,894,Karishma Patel,Robotics,2023-12-12
288,Rahil Acharya,5,Female,878,Kosha Patel,Wacking,2023-12-13
289,Aarav Gandhi,5,Female,903,Vilas More,Classical,2023-12-14
290,Ishita Gohil,15,Female,940,Avinash Kori,Popping,2023-12-15
291,Ishita Naik,8,Male,911,Kosha Patel,Lyrical,2023-12-16
292,Hemal Thakkar,9,Female,863,Ganesh Katara,Locking,2023-12-17
293,Parth Naik,7,Male,924,Ganesh Katara,Freestyle,2023-12-18
294,Ketan Desai,7,Male,928,Kosha Patel,Classical,2023-12-19
295,Ketan Mehta,15,Female,937,Karishma Patel,Contemporary,2023-12-20
296,Jitendra Thakkar,9,Male,823,Kosha Patel,Hip-Hop,2023-12-21
297,Parth Desai,11,Female,928,Karishma Patel,Contemporary,2023-12-22
298,Aditi Desai,6,Male,999,Abhi Kori,Krump,2023-12-23
299,Ishita Gohil,5,Male,985,Avinash Kori,Wacking,2023-12-24
300,Shilpa Trivedi,6,Female,968,Vilas More,Popping,2023-12-25
301,Ketan Shah,17,Female,923,Vilas More,Classical,2023-12-26
302,Rahil Gandhi,7,Male,971,Vilas More,Lyrical,2023-12-27
303,Rinkle Pandya,13,Female,859,Vilas More,Locking,2023-12-28
304,Ishita Patel,16,Female,969,Avinash Kori,Hip-Hop,2023-12-29
305,Kavita Vyas,5,Male,978,Karishma Patel,Lyrical,2023-12-30
306,Jitendra Desai,17,Male,879,Avinash Kori,Freestyle,2023-12-31
307,Tara Gohil,14,Female,906,Abhi Kori,Urban,2024-01-01
308,Tara Trivedi,6,Male,919,Kosha Patel,Locking,2024-01-02
309,Hemal Bhatt,7,Male,805,Abhi Kori,Bollywood,2024-01-03
310,Riya Acharya,6,Male,858,Ganesh Katara,Lyrical,2024-01-04
311,Riya Dave,11,Male,879,Ganesh Katara,Lyrical,2024-01-05
312,Manish Gohil,17,Male,934,Abhi Kori,Locking,2024-01-06
313,Dhruv Pandya,7,Female,841,Abhi Kori,Contemporary,2024-01-07
314,Rinkle Patel,17,Female,950,Karishma Patel,Robotics,2024-01-08
315,Dev Parekh,11,Female,918,Avinash Kori,Freestyle,2024-01-09
316,Pravin Parekh,9,Male,930,Avinash Kori,Wacking,2024-01-10
317,Dev Gandhi,5,Female,831,Karishma Patel,Contemporary,2024-01-11
318,Rahil Vyas,9,Female,838,Ganesh Katara,Krump,2024-01-12
319,Shilpa Gandhi,17,Male,943,Vilas More,Popping,2024-01-13
320,Aarav Vyas,13,Female,903,Ganesh Katara,Krump,2024-01-14
321,Nidhi Trivedi,9,Female,944,Vilas More,Robotics,2024-01-15
322,Aarav Joshi,17,Female,844,Karishma Patel,Funk,2024-01-16
323,Krishna Vyas,16,Male,999,Vilas More,Freestyle,2024-01-17
324,Hemal Solanki,17,Male,810,Karishma Patel,Popping,2024-01-18
325,Aarav Gohil,5,Male,821,Abhi Kori,Hip-Hop,2024-01-19
326,Ketan Acharya,12,Female,875,Ganesh Katara,Freestyle,2024-01-20
327,Riya Trivedi,5,Male,844,Ganesh Katara,Robotics,2024-01-21
328,Parth Chawda,15,Male,1000,Kosha Patel,Hip-Hop,2024-01-22
329,Nidhi Trivedi,11,Male,951,Avinash Kori,Bollywood,2024-01-23
330,Jitendra Joshi,5,Male,942,Ganesh Katara,Lyrical,2024-01-24
331,Vivaan Mehta,6,Female,913,Avinash Kori,Popping,2024-01-25
332,Nidhi Joshi,14,Male,885,Vilas More,Krump,2024-01-26
333,Aarav Shah,5,Female,876,Vilas More,Bollywood,2024-01-27
334,Parth Acharya,12,Female,832,Ganesh Katara,Robotics,2024-01-28
335,Kavita Joshi,16,Male,839,Karishma Patel,Robotics,2024-01-29
336,Jitendra Gohil,16,Female,867,Ganesh Katara,Krump,2024-01-30
337,Anya Parekh,11,Female,861,Karishma Patel,Krump,2024-01-31
338,Rahil Joshi,7,Male,873,Vilas More,Freestyle,2024-02-01
339,Nidhi Panchal,12,Female,851,Karishma Patel,Freestyle,2024-02-02
340,Dhruv Shah,16,Female,815,Ganesh Katara,Freestyle,2024-02-03
341,Manish Acharya,16,Female,896,Avinash Kori,Classical,2024-02-04
342,Kiran Naik,7,Male,869,Kosha Patel,Classical,2024-02-05
343,Manish Panchal,16,Female,852,Vilas More,Contemporary,2024-02-06
344,Jitendra Shah,15,Female,838,Karishma Patel,Wacking,2024-02-07
345,Anya Acharya,10,Male,953,Avinash Kori,Wacking,2024-02-08
346,Jitendra Gandhi,12,Female,995,Kosha Patel,Hip-Hop,2024-02-09
347,Hemal Parekh,5,Female,944,Kosha Patel,Krump,2024-02-10
348,Harsh Vyas,8,Male,976,Vilas More,Robotics,2024-02-11
349,Rahil Gohil,8,Male,934,Abhi Kori,Contemporary,2024-02-12
350,Shilpa Chawda,14,Female,971,Ganesh Katara,Krump,2024-02-13
351,Rahil Thakkar,10,Male,866,Avinash Kori,Urban,2024-02-14
352,Shilpa Gandhi,5,Female,992,Karishma Patel,Lyrical,2024-02-15
353,Mayur Bhatt,17,Male,927,Abhi Kori,Popping,2024-02-16
354,Mihir Joshi,10,Female,906,Karishma Patel,Freestyle,2024-02-17
355,Aditi Panchal,10,Female,962,Ganesh Katara,Hip-Hop,2024-02-18
356,Anya Bhatt,7,Male,895,Ganesh Katara,Hip-Hop,2024-02-19
357,Darshan Parekh,7,Female,966,Vilas More,Funk,2024-02-20
358,Aditi Pandya,10,Female,829,Vilas More,Funk,2024-02-21
359,Jitendra Trivedi,6,Male,975,Vilas More,Bollywood,2024-02-22
360,Aditi Solanki,13,Male,912,Vilas More,Popping,2024-02-23
361,Manish Gohil,13,Female,990,Ganesh Katara,Locking,2024-02-24
362,Aditi Joshi,14,Female,828,Avinash Kori,Contemporary,2024-02-25
363,Dhruv Acharya,12,Male,844,Avinash Kori,Freestyle,2024-02-26
364,Kiran Panchal,12,Female,948,Vilas More,Funk,2024-02-27
365,Manish Naik,5,Female,802,Ganesh Katara,Locking,2024-02-28
366,Mayur Patel,5,Female,947,Ganesh Katara,Locking,2024-02-29
367,Rahil Panchal,17,Male,984,Vilas More,Urban,2024-03-01
368,Ketan Dave,15,Male,930,Abhi Kori,Locking,2024-03-02
369,Rahil Vyas,6,Female,975,Ganesh Katara,Funk,2024-03-03
